order,family_name,family,common_name,birdlife,type,scientific_name
PASSERIFORMES,Thraupidae,Tanagers,Puerto Rican Bullfinch,Pyrrhulagra portoricensis,scientific_name,Pyrrhulagra portoricensis
PASSERIFORMES,Thraupidae,Tanagers,Puerto Rican Bullfinch,Pyrrhulagra portoricensis,synonym_1,Loxigilla portoricensis
PASSERIFORMES,Thraupidae,Tanagers,Grand Cayman Bullfinch,Pyrrhulagra taylori,scientific_name,Pyrrhulagra taylori
PASSERIFORMES,Thraupidae,Tanagers,Greater Antillean Bullfinch,Pyrrhulagra violacea,scientific_name,Pyrrhulagra violacea
PASSERIFORMES,Thraupidae,Tanagers,Greater Antillean Bullfinch,Pyrrhulagra violacea,synonym_1,Loxigilla violacea
PASSERIFORMES,Pycnonotidae,Bulbuls,Leaf-love,Pyrrhurus scandens,scientific_name,Pyrrhurus scandens
PASSERIFORMES,Pycnonotidae,Bulbuls,Leaf-love,Pyrrhurus scandens,synonym_1,Phyllastrephus scandens
PASSERIFORMES,Estrildidae,Waxbills,Orange-winged Pytilia,Pytilia afra,scientific_name,Pytilia afra
PASSERIFORMES,Estrildidae,Waxbills,Yellow-winged Pytilia,Pytilia hypogrammica,scientific_name,Pytilia hypogrammica
PASSERIFORMES,Estrildidae,Waxbills,Red-billed Pytilia,Pytilia lineata,scientific_name,Pytilia lineata
PASSERIFORMES,Estrildidae,Waxbills,Green-winged Pytilia,Pytilia melba,scientific_name,Pytilia melba
PASSERIFORMES,Estrildidae,Waxbills,Red-winged Pytilia,Pytilia phoenicoptera,scientific_name,Pytilia phoenicoptera
PASSERIFORMES,Ploceidae,Weavers,Cardinal Quelea,Quelea cardinalis,scientific_name,Quelea cardinalis
PASSERIFORMES,Ploceidae,Weavers,Red-headed Quelea,Quelea erythrops,scientific_name,Quelea erythrops
